baseline_commit	target_path	baseline_sha256	current_sha256	owner	reason
6fbf6aece2524707f590f66a1d69eaf7f11ce2c7	Extensions/GeckoView/Addons/AddonRuntime.swift	124bb03cb473329a73e1c0869d7f18c5cee2e165b48aee7211c13e880aa8f8e6	53ec2deddd4e8104b36d9c509465675ba81f619a2a851d87aef7d6c314885450	Vulpra substrate maintenance	Remove the eager WebExtension list query from delegate assignment while Gecko's privileged JS global is still initializing.
6fbf6aece2524707f590f66a1d69eaf7f11ce2c7	Extensions/GeckoView/Delegates/PictureInPictureDelegate.swift	fbb0b456f90066a9a0f9eb9532707733dabc6c584993d82227ce7c0e855ac7da	d11e2799563538fcbc3f6f3a4fe245048f6227146163492f5c24064d56b82cea	Vulpra substrate maintenance	Treat an absent transient PiP candidate as unavailable instead of terminating the app.
6fbf6aece2524707f590f66a1d69eaf7f11ce2c7	Extensions/GeckoView/Events/EventDispatcher.swift	5acaa4caa70dd0720f1f4515c3bd170fa781a0dc6724dbade1b6b03510075215	d0b1519f8daec7807ca31c497ac83d24f913713edd55967b9a6fa32e75efd081	Vulpra substrate maintenance	Reject malformed Gecko event payloads without a forced-cast crash.
6fbf6aece2524707f590f66a1d69eaf7f11ce2c7	Extensions/GeckoView/Session/GeckoAutofillHandler.swift	c4949d2b45ec4d2dc51fef4218a552cd9241665788d11d20ac024c9eceeda22a	a0948161a737b1b44f53ac1cf7c656a8e98576cdb81ce38f331c5d28dcb0f641	Vulpra substrate maintenance	Make private selector integration conditional for iOS 15 and runtime API variation.
6fbf6aece2524707f590f66a1d69eaf7f11ce2c7	Extensions/GeckoView/Session/GeckoSession.swift	d692868d4484fb58f2da040676c78d1424667a1b01117870f5665effa180acbc	c6f42964b66a6b577f7234b1a5697a58833e609c0ae124c74cf2f5a01c3389ae	Vulpra substrate maintenance	Add Vulpra tracking-protection settings and make repeated open or delayed engine-view creation recoverable.
6fbf6aece2524707f590f66a1d69eaf7f11ce2c7	Extensions/GeckoView/Session/GeckoSessionSettings.swift	1869ec6213bb70ba76f7bf512653ff56dd8bbae5bcb282e0c025c697602421ba	6993da940c54c42e980d6875e6e95d91d335faa86bce71f9e3256b09ff862dd5	Vulpra substrate maintenance	Expose the Vulpra-owned tracking-protection flag to Gecko session creation.
6fbf6aece2524707f590f66a1d69eaf7f11ce2c7	Extensions/GeckoView/View/GeckoView.h	818e3bde16c69bffa82e779771b355da2792b14bf39adf7fe871ec6510cc8cca	8777e1b69748ddbf48c3ca285b9f2f52893424a255f5a0c55b1d30404f67c79c	Vulpra substrate maintenance	Use the retained Utils contract instead of the missing TSUtils compatibility header.
6fbf6aece2524707f590f66a1d69eaf7f11ce2c7	Extensions/GeckoView/View/GeckoView.swift	37cd5a626e05835a7991bbfaed346b159b00be0510702e5c26984145d2aa5b6d	2eb7f41150490c5add2452d2523911bd79a6d805b4ccddfe39df0cd2e5fb8026	Vulpra substrate maintenance	Reject duplicate engine-view attachment without a process-terminating trap.
6fbf6aece2524707f590f66a1d69eaf7f11ce2c7	Extensions/Helper/Entitlements/Vulpra-Helper.entitlements	800c2b9d4ba82779a76ecc850fbef4213ac9c251857128b1ad4c3e507fbc1d01	97704a8960b4facceef54397a08fb5d0a456247c3627359215aa2a27df22656c	Vulpra substrate maintenance	Remove development get-task-allow from the standard Helper entitlement profile.
6fbf6aece2524707f590f66a1d69eaf7f11ce2c7	Extensions/Helper/Info.plist	6f3c6a1ff0c1ef96de0c31013ab2fb1b4a8d468e583faac774a6e65e0bb62dc2	e0f294f362835dc86cfe9b8528fef3c7aa661a07f5f48e5637464a1cf828d9bb	Vulpra substrate maintenance	Provide complete build-owned bundle metadata required for an embedded app extension.
6fbf6aece2524707f590f66a1d69eaf7f11ce2c7	Tools/Build/AddGecko.sh	b9bbd375e63151ad79a565997078ee8ae65312ea50a6318cfb3fd607a8e19a7f	d1760d431dd27726f980631efd1ab84a4fe3ae0c0ec07799062c848b36664f47	Vulpra substrate maintenance	Verify runtime inputs, use repository-canonical paths, and require an actual signing identity when signing is enabled.
6fbf6aece2524707f590f66a1d69eaf7f11ce2c7	Tools/Gecko/build-gecko.sh	059774e10b58a39ba4ca2fa1124f517c14fb3aa452d573a5906c4f836e0bfb69	8d4914e14ed2f12162ca93061d09170103c96771650cc68b72e48a517d19f180	Vulpra substrate maintenance	Build the Gecko device runtime for the Vulpra iOS 15 minimum.
6fbf6aece2524707f590f66a1d69eaf7f11ce2c7	Tools/Gecko/build-idevice.sh	7aaad15d4ba7cc6eca6b4bd32902104e069a49b5d01a2057a3d167353c9a81b9	5bb0acbf581b27812ba428dd6eb7e1a88dd66f319ae7c5edfaa2cd549dc0d123	Vulpra substrate maintenance	Keep target-scoped idevice FFI output under .build and support both the arm64 device and arm64 Simulator producers at the canonical iOS deployment target.
6fbf6aece2524707f590f66a1d69eaf7f11ce2c7	Tools/Gecko/gecko-artifact.sh	795400fe11befb52c34bf6fd38889abd5890decf8ad0780f1238464169378894	d1e38d64a4f88f1ab90c52abc5f2ad1b488d6f4a0bc4ef775e61bef7660e4b02	Vulpra substrate maintenance	Bind reusable runtime artifacts to Xcode and SDK build fingerprints and required public headers.
6fbf6aece2524707f590f66a1d69eaf7f11ce2c7	Tools/Gecko/test-gecko-artifact.sh	9350f5413d5c91d2e53d10c2ad37d58b2dc870f01046dcffc905d2f01377bfa3	f9100ebd28b73f66aee9337587452473b64e6aebe9206900630123ab6d2cede0	Vulpra substrate maintenance	Test runtime fingerprint invalidation, header closure, and stale manifest rejection.
